Funeral Home,Clean FH name for LP,,Landing Page Built,Buttons Completed,Zap,Mailchimp Template,Mailchimp Audience,Mailchimp complete,Mailchimp Audience name,Mailchimp Audience Id,New Landing page name,Form code added,Page Published in Leadpages,Page switched in Wordpress,Notes,,2022 Landing page Address,new lp core url,2023 NEW LP URL,Account Owner,Campaign Name,Campaign ID,NEW campaign ID,URL param,Counselor (Contact + Lead Owner),Contact ID,Lead Owner ID,Account ID,L2P?,Logo link,Logo above header,Header Link,Video Embed code,Email Customizations,LP Customizations,Automation Customizations,CC'd on Emails,Account Website,zapier identifier,Notes
A Simple Service Burial & Cremation- Lancaster,A Simple Service Burial & Cremation,,✅,✅,,✅,✅,✅,A Simple Service- Landing Page,b874947c15,,,,✅,,,http://preplanafuneral.com/asimpleservice,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=3,Suzanne Lundin,Internet Campaign - A Simple Service - Lancaster,7010B000001ly5E,,3,Renae Brown,0034O000030e4eu,0054O000008wbM5,001U000000h90Gj,,https://info.preplanafuneral.com/rs/852-LNK-689/images/A%20Simple%20Service%20Logo%20Transparent.png,,https://info.preplanafuneral.com/rs/852-LNK-689/images/a.simple.service..png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,,,,https://www.asimpleservice.com/,a-simple-service,
Alexander Funeral Home - Lafayette,Alexander Funeral Home,,✅,✅,,✅,✅,✅,Alexander- Landing Page V2,1f15bb1cd0,,,,✅,Video Unavailable,,http://preplanafuneral.com/alexander,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=5,Sabrina Simmons,Internet Campaign - Alexander Funeral Home,701U0000000CI5F,,5,Scott Moore,0034O00002uadMW,0054O000009hjt9,001U000000EiY0U,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Sellars%20Banner%20HOME%20-%20White.jpg,,https://info.preplanafuneral.com/rs/852-LNK-689/images/alexanderheader.png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,,,,http://www.alexanderfh.com/,,
Blyth- Greenwood,Blyth Funeral Home and Cremation Services,,,,,,,,,,,,,,,,https://preplanafuneral.com/blyth,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=7,Suzanne Lundin,Internet Campaign- Blyth Funeral Home,,7014O000001qGdF,7,Tim Haynes,0034O00002oNyPz,0054O000009hgPa,0010B000024b56m,,https://info.preplanafuneral.com/rs/852-LNK-689/images/_Blyth%20Funeral%20Home.png,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Blyth-header.png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",Indiviual emails with LP dropdown options- zap pathways,,,,,,
Caldwell Parrish Funeral Home & Crematory- McAlley Chapel,Caldwell Parrish Funeral Home & Crematory,,,,,,,,,,,,,,,,https://preplanafuneral.com/caldwellparrish,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=8,Caryl Jermier,Internet Campaign- Caldwell Parrish Funeral Home,701U0000001EM5e,7014O000001qGdr,8,Shannon Heinen,0034O00002sYz2X,0054O0000091SbT,001U000001e84IX,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Caldwell%20Parrish%20Logo.jpg,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Caldwell.header.png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,,,,,,
Cotter Funeral and Cremation Care - De Pere,Cotter Funeral and Cremation Care,,✅,✅,,✅,✅,✅,Cotter- Landing Page,129b0d945d,,,,✅,,,http://preplanafuneral.com/cotter,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=11,Caryl Jermier,Internet Campaign - Cotter Funeral Homes & Crematory,7014O000001h4Rt,7014O000001qGdz,11,Dana Paler,0034O00002xDzm9,0054O00000A8dvA,0014O000026Ao0T,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Cotter%20funeral%20and%20cremation%20care.jpeg,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Cotter.header.png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,,,,www.cotterfuneralhome.com,,
Forbis & Dick Funeral Service - North Elm Chapel,Forbis & Dick Funeral Service - North Elm Chapel,,✅,✅,,✅,✅,✅,Forbis and Dick (North Elm)- Landing Page,90803482c8,,,,✅,,,www.preplanafuneral.com/forbisanddick,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=12,Suzanne Lundin,Internet Campaign - Forbis & Dick,701U0000001EG3X,7014O000001qGdc,12,Brad Steele,0030B00002S27xc,0054O0000091UNT,001U000000mriY8,yes,https://info.preplanafuneral.com/rs/852-LNK-689/images/Forbis%20%26%20Dick%20Logo-%20Color.jpg,https://info.preplanafuneral.com/rs/852-LNK-689/images/Forbis%20%26%20Dick%20Logo-%20Color.jpg,https://info.preplanafuneral.com/rs/852-LNK-689/images/Forbis%26Dick.header.png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,,,,www.forbisanddick.com,forbis-dick-fh,
Heritage Funeral & Cremation Services - Weddington,Heritage Funeral & Cremation Services,,✅,✅,,✅,✅,✅,Heritage Weddington- Landing Page,f675c5a406,,,,✅,,,http://preplanafuneral.com/heritage,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=17,Caryl Jermier,Internet Campaign - Heritage Funeral & Cremation Services - Weddington,7010B000001RbIU,7014O000001qGdn,17,David Murray,0034O00002saOns,0054O000009Gz1JQAS,0010B00001ow1Xn,yes,https://info.preplanafuneral.com/rs/852-LNK-689/images/HeritageFH.jpg,https://info.preplanafuneral.com/rs/852-LNK-689/images/HeritageFH.jpg,https://info.preplanafuneral.com/rs/852-LNK-689/images/Heritage-Weddington.header.png,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,,,,http://www.heritagefuneral.net,,
Hindt & Hindt-Hudek Funeral Homes - Spring Valley (Second Location),Hindt & Hindt-Hudek Funeral Homes,,✅,✅,,✅,✅,✅,Hindt & Hindt-Hudek - Landing Page,d122ea5170,,,,✅,ask casey about location,,http://preplanafuneral.com/hindthudek,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=18,Caryl Jermier,Internet Campaign - Hindt & Hindt-Hudek Funeral Home,7010B000001lxep,7014O000001qGdR,18,Nicole Johnson,0034O00002VKvQL,0054O0000091v3L,0010B0000208xqa,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Hindt-Hudek%20Funeral%20Homes%20logo%20%281%29.jpg,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Hindt.header.jpg,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,,,,www.hindtfuneralhomes.com,,
Kerr Brothers Funeral Home - Harrodsburg Rd - Lexington,Kerr Brothers Funeral Home,,✅,✅,,✅,✅,✅,Kerr (Harrodsburg Rd)- Landing Page,ed6fe0a3c1,,,"3 Buttons- TB, Cremation, POM Kit",✅,,,www.preplanafuneral.com/kerrbrothers,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=26,Sabrina Simmons,Internet Campaign - Kerr Brothers,701U0000000CICa,7014O000001qGck,26,Kelly S Mead,003U000001T0BDs,0054O000008r18A,001U000000VUicO,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Kerr%20Brothers%20Logo%20no%201905.jpeg,,https://info.preplanafuneral.com/rs/852-LNK-689/images/kerrbros.header.jpg,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823837336?h=bdcc382d01&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Kerr Brothers Funeral Home Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>","3 Buttons- TB, Cremation, Life Planning Guide",custom video,,,http://www.kerrbrothersfuneralhome.com,kerr-brothers-fh,
Lowe Funeral Home - Burlington,Lowe Funeral Home,,✅,✅,,✅,✅,✅,Lowe- Landing Page,1b9e9bad4a,,,,✅,video unavailable,,www.preplanafuneral.com/lowe,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=,https://info.preplanafuneral.com/2023-Landing-page-conversion.html?client_code=30,Suzanne Lundin,Internet Campaign - Lowe Funeral Home,701U0000000CJFf,7014O000001qGdf,30,Jimmy Sawyer,0030B00002643kz,0054O0000091V3Z,001U000000ijKuc,,https://info.preplanafuneral.com/rs/852-LNK-689/images/Lowe%20Logo.png,https://info.preplanafuneral.com/rs/852-LNK-689/images/Lowe%20Logo.png,https://info.preplanafuneral.com/rs/852-LNK-689/images/Lowe_LP_.jpg,"<div style=""padding:56.25% 0 0 0;position:relative;""><iframe src=""https://player.vimeo.com/video/823826592?h=bc453c71fe&amp;badge=0&amp;autopause=0&amp;player_id=0&amp;app_id=58479"" frameborder=""0"" allow=""autoplay; fullscreen; picture-in-picture"" allowfullscreen style=""position:absolute;top:0;left:0;width:100%;height:100%;"" title=""Preplanning Video""></iframe></div><script src=""https://player.vimeo.com/api/player.js""></script>",,,,,www.lowefuneralhome.com,lowe-fh,
